-2.5888,7.9145,6.3
-0.8514,6.337,5.42
1.195,5.2976,6.16
3.7458,5.0088,5.41
5.2095,4.9506,4.83
4.3245,3.8559,5.2
3.4981,3.6131,5.28
2.0087,3.9175,4.87
2.4084,4.8452,4.66
3.8477,4.9925,5.16
4.8554,4.9227,5.82
3.7101,4.5675,6.51
2.1084,4.5438,6.76
4.1726,5.4182,7.28
5.13,6.2553,8.1
6.1209,6.8464,9.58
2.5058,7.0853,10.07
1.6531,7.9148,10.18
1.0351,8.7875,10.95
1.0945,9.4171,13.58
1.2958,10.1572,15.05
-1.4659,10.3051,12.69
-1.881,9.0476,9.84
-0.3624,7.9426,15.85
3.7277,7.3525,16.57
3.1521,7.5566,17.78
2.4553,7.5387,17.58
-0.7624,6.423,13.59
-1.7149,5.2444,14.23
-2.3139,3.9318,14.51
-1.5055,4.041,11.01
0.2776,3.4629,9.29
1.0391,2.0967,8.65
3.6568,1.5247,8.8
5.4952,2.1883,9.46
6.2347,3.1143,9.43
5.9487,3.3722,9.69
5.7498,3.3402,10.56
4.6873,3.212,11.39
3.5114,2.6625,9.27
2.7636,2.638,8.48
2.6945,2.6777,7.92
3.4446,2.4391,7.9
3.204,2.5396,8.1
3.2113,2.1526,7.83
2.1299,1.0449,6.92
2.383,0.6401,6.21
1.9793,0.8181,6.27
2.2157,2.5058,6.22
2.3275,3.0228,6.65
2.7136,3.3821,6.84
3.6546,3.1115,6.92
3.0982,2.7622,6.66
3.512,2.8471,7.16
2.449,3.1297,7.98
3.205,3.4389,8.47
2.8928,3.428,9.44
3.1003,3.8197,9.73
2.5319,3.512,9.08
1.7416,3.3938,8.61
2.046,3.497,8.25
1.6842,3.7027,8.24
1.4983,4.4037,8.16
-0.4436,4.3806,7.74
-1.2999,4.141,6.43
-0.5536,3.0203,5.86
0.7783,2.096,5.64
1.6867,2.1775,4.82
2.0912,2.2609,4.02
2.7077,2.2679,3.77
3.2388,2.2021,3.26
3.057,2.3989,3.04
2.1494,2.3575,3.04
1.7752,2.3167,3
1.2677,1.9061,3.06
2.4071,2.0068,2.99
2.7919,1.7882,3.21
3.6608,1.8931,3.94
2.9196,1.9897,4.49
3.0708,2.0689,5.17
2.0553,2.2342,5.81
1.8184,2.1263,6.02
1.5439,2.0488,5.8
1.9089,1.8606,5.72
2.2159,1.9317,5.36
3.094,2.2851,5.24
3.3062,2.3152,5.31
3.703,2.295,5.28
2.728,2.0463,5.28
3.3097,1.7019,5.52
3.5204,1.3356,5.53
3.5372,1.2657,5.51
3.0201,1.2423,5.52
2.7242,1.0722,5.5
3.2507,1.0461,5.53
3.8945,1.3083,4.86
3.723,1.3445,4.73
3.242,1.579,4.75
2.8674,1.8512,5.09
3.7908,2.2212,5.31
3.2632,2.46,5.68
3.8798,2.5004,6.27
2.2816,2.6752,6.52
2.5562,2.4009,6.47
0.4026,2.5721,5.59
0.8121,2.3611,4.33
-0.0726,1.9326,3.5
0.4892,0.9055,2.13
0.8773,0.5255,1.73
1.7463,1.0268,1.75
1.9548,1.6391,1.74
1.0983,1.9098,1.44
1.0646,2.1498,1.25
1.5015,1.4489,1.25
3.1017,1.6032,1.02
3.7474,0.9588,1
3.3966,1.9653,1
2.467,2.004,1.01
2.2077,2.2609,1.43
2.4968,2.4862,1.95
2.8255,2.2075,2.47
2.4427,2.2453,2.94
2.4192,2.6806,3.46
1.9275,3.105,3.98
2.5991,2.9509,4.46
2.0609,2.346,4.91
1.582,2.3573,5.25
1.1674,1.4269,5.25
0.9306,1.5042,5.26
1.6032,1.6908,5.25
1.4945,2.7328,5.07
1.7902,2.9764,4.5
0.3418,2.9276,3.18
0.1686,3.5891,2.09
-0.6719,3.9,1.94
-2.1204,0.5058,0.51
-4.0116,-1.477,0.18
-3.6657,-2.4767,0.18
-1.2064,0.6968,0.16
1.1537,2.1669,0.12
1.721,1.795,0.13
2.3577,0.903,0.19
2.0663,0.4158,0.19
2.2638,1.0639,0.19
0.9127,2.1607,0.16
0.9653,2.9986,0.09
0.5474,2.8421,0.08
2.0565,2.2284,0.07
1.9921,1.6818,0.1
2.246,1.2335,0.15
1.2456,1.1914,0.14
0.6077,1.3157,0.16
0.6152,1.51,0.14
0.7746,0.982,0.12
1.484,0.7799,0.08
1.9502,0.8425,0.09
1.4373,1.5461,0.07
1.8226,1.5141,0.09
1.9303,1.283,0.09
2.678,0.6236,0.1
